,ret,AUM,ret_spy,AUM_SPX
2022-06-09,,100000.0,,
2022-06-10,0.001388815999999962,100138.8816,-0.044564,95543.59999999999
2022-06-13,-0.00233671473319104,99904.8856,-0.042413,91491.3092932
2022-06-14,0.0,99904.8856,0.009205,92333.4867952439
2022-06-15,0.001097016420586294,100014.48289999999,0.029735,95079.02302510047
2022-06-16,-0.005915443272266286,99422.8529,-0.02697,92514.74177411351
2022-06-17,-0.008984413280701558,98529.5969,0.01094,93526.8530491223
2022-06-21,-0.0015999659489118183,98371.9529,0.024591,95826.77189245328
2022-06-22,-0.0074962525217897764,97634.53189999999,-0.002404,95596.40433282382
2022-06-23,-0.0029239122106141124,97349.05709999999,0.022637,97760.42013770597
2022-06-24,0.0019091710339738139,97534.91309999998,0.03415,101098.93848540861
2022-06-27,-0.003443628433396345,97199.03909999998,-0.010497,100037.70292812728
2022-06-28,0.010935061805564644,98261.91659999997,-0.031749,96861.60589786217
2022-06-29,-0.00691763425261747,97582.17659999996,0.014738,98289.15224558486
2022-06-30,0.0016568927403900436,97743.85979999996,-0.013179,96993.79950814029
2022-07-01,0.0,97743.85979999996,0.010708,98032.40911327345
2022-07-05,0.0,97743.85979999996,0.012597,99267.32337087335
2022-07-06,-0.00412205944009587,97340.95379999996,0.012783,100536.25756552322
2022-07-07,-0.0025853249857924064,97089.29579999995,0.008227,101363.36935651477
2022-07-08,0.0,97089.29579999995,-0.002757,101083.91054719887
2022-07-11,-0.005149939505483445,96589.29179999996,-0.011769,99894.25400396889
2022-07-12,0.02176349946071342,98691.41279999995,-0.040982,95800.38768637824
2022-07-13,0.0,98691.41279999995,-0.003745,95441.61523449275
2022-07-14,-0.0030617618233143716,98389.24319999995,0.005381,95955.18656606956
2022-07-15,-0.010965375532027479,97310.36819999997,0.01039,96952.16095449102
2022-07-18,0.0,97310.36819999997,-0.009621,96019.38421394785
2022-07-19,0.0,97310.36819999997,0.020767,98013.41876591892
2022-07-20,-0.010234675075455942,96314.4282,0.010558,99048.2444412495
2022-07-21,-0.001926618923747213,96128.86699999998,0.009799,100018.81818852929
2022-07-22,0.012531022549137108,97333.45999999999,-0.016916,98326.89986005212
2022-07-25,-0.004640069304019433,96881.82599999999,-0.005876,97749.13099647446
2022-07-26,0.020573311654963945,98875.00599999998,-0.026774,95131.99576317485
2022-07-27,0.013149427267797359,100175.1557,0.066852,101491.7599439346
2022-07-28,0.01447275015315992,101624.9657,0.028541,104388.43626449443
2022-07-29,0.0,101624.9657,0.015665,106023.68111857773
2022-08-01,0.0,101624.9657,-0.009724,104992.70684338069
