,ret,AUM,ret_spy,AUM_SPX
2022-06-09,,100000.0,,
2022-06-10,-0.0035976760000000023,99640.2324,-0.028996,97100.4
2022-06-13,0.0009099065489534821,99730.8957,-0.037968,93413.69201279999
2022-06-14,0.0,99730.8957,-0.003013,93132.23655876542
2022-06-15,-0.009304538914313496,98802.9457,0.014256,94459.92972314719
2022-06-16,-0.009377736599203441,97876.3977,-0.033096,91333.6838890299
2022-06-17,-0.011166737085584365,96783.43770000001,0.002146,91529.68597465576
2022-06-21,-0.0011405877144203807,96673.04770000002,0.025174,93833.85428938175
2022-06-22,0.0,96673.04770000002,-0.001813,93663.7335115551
2022-06-23,0.0,96673.04770000002,0.009803,94581.91909116888
2022-06-24,0.014664997470644406,98090.75770000002,0.031794,97589.05662675352
2022-06-27,-0.0012783875151981341,97965.35970000002,-0.00382,97216.26643043931
2022-06-28,0.011975393175634966,99138.53340000001,-0.020433,95229.84645846614
2022-06-29,0.0,99138.53340000001,-0.000814,95152.32936344895
2022-06-30,-0.005744234663047749,98569.05840000002,-0.008124,94379.31183970028
2022-07-01,0.0,98569.05840000002,0.010577,95377.5618210288
2022-07-05,-0.0010128939204718677,98469.21840000003,0.001889,95557.73003530873
2022-07-06,0.0,98469.21840000003,0.003377,95880.42848963795
2022-07-07,-0.0011479729588265565,98356.17840000003,0.014977,97316.42966712728
2022-07-08,0.0,98356.17840000003,-0.000823,97236.33824551123
2022-07-11,0.0,98356.17840000003,-0.011424,96125.5103173945
2022-07-12,0.0,98356.17840000003,-0.008849,95274.89567659589
2022-07-13,0.0,98356.17840000003,-0.005252,94774.5119245024
2022-07-14,-0.0007722951545663029,98280.21840000006,-0.002428,94544.39940954972
2022-07-15,0.0,98280.21840000006,0.019105,96350.67016026916
2022-07-18,0.0,98280.21840000006,-0.008257,95555.10267675582
2022-07-19,0.02193401719180546,100435.89840000005,0.027019,98136.90599597908
2022-07-20,-0.01110660050609958,99320.39700000004,0.006373,98762.33249789145
2022-07-21,-0.013247476245992136,98004.65240000004,0.010183,99768.02932971748
2022-07-22,0.008801367882816755,98867.22740000002,-0.009278,98842.38155359637
2022-07-25,0.0,98867.22740000002,0.001215,98962.47504718398
2022-07-26,-0.0006595360435889093,98802.02090000002,-0.011831,97791.65000490073
2022-07-27,0.0039815025686382646,99195.40140000002,0.025966,100330.90798892798
2022-07-28,-0.00130973813469563,99065.48139999999,0.012542,101589.25823692513
2022-07-29,0.0031692037989732294,99379.44009999998,0.014579,103070.32803276126
2022-08-01,0.0,99379.44009999998,-0.002961,102765.13679145624
2022-08-02,0.0,99379.44009999998,-0.006597,102087.19518404301
2022-08-03,0.009118183792222932,100285.60009999998,0.01566,103685.88066062512
2022-08-04,0.0,100285.60009999998,-0.000676,103615.78900529853
2022-08-05,0.0,100285.60009999998,-0.00169,103440.67832187958
2022-08-08,-0.0025454302486644454,100030.33009999998,-0.001161,103320.58369434786
2022-08-09,0.0,100030.33009999998,-0.003971,102910.29765649761
2022-08-10,0.0,100030.33009999998,0.021004,105071.82554847469
2022-08-11,0.0,100030.33009999998,0.0,105071.82554847469
2022-08-12,0.0112838016116873,101159.05249999998,0.016929,106850.58648318482
2022-08-15,0.0,101159.05249999998,0.004121,107290.91775008202
2022-08-16,0.0008018936318130571,101240.17129999997,0.001959,107501.10065795443
2022-08-17,0.0,101240.17129999997,-0.007098,106738.05784548426
2022-08-18,0.0,101240.17129999997,0.002906,107048.23864158326
2022-08-19,0.0004030020838180061,101280.97129999996,-0.013438,105609.72441071768
2022-08-22,0.009780356440953528,102271.53529999994,-0.020823,103410.6131193133
2022-08-23,0.0,102271.53529999994,-0.002419,103160.46284617767
2022-08-24,-0.006066204033997828,101651.13529999994,0.003201,103490.6794877483
2022-08-25,-0.003215901121371882,101324.23529999994,0.014118,104951.76090075636
2022-08-26,0.04160816005684677,105540.15029999995,-0.033849,101399.24874602664
2022-08-29,0.0,105540.15029999995,-0.006612,100728.79691331791
2022-08-30,0.0061568985656447785,106189.95029999995,-0.010978,99622.9961808035
2022-08-31,0.0,106189.95029999995,-0.007609,98864.96480286377
2022-09-01,-0.002419031172670358,105933.07349999994,0.003138,99175.20306241517
2022-09-02,0.0031748347224155715,106269.39349999995,-0.010544,98129.49972132506
2022-09-06,-0.015659681919611083,104605.24859999996,-0.003773,97759.2571188765
2022-09-07,0.020839202900187863,106785.13859999995,0.017965,99515.50217301711
