,ret,AUM,ret_spy,AUM_SPX
2022-06-09,,100000.0,,
2022-06-10,0.014054009811663931,101405.4009811664,-0.045815,95418.5
2022-06-13,0.008279790386192384,102245.01644531825,-0.064419,89271.73564849999
2022-06-14,0.0,102245.01644531825,-0.003227,88983.65575756229
2022-06-15,0.0,102245.01644531825,0.034325,92038.0197414406
2022-06-16,-0.009980311501735131,101224.57933169394,-0.050074,87429.3079409077
2022-06-17,-0.008924600236298584,100321.19042707108,0.017841,88989.13422388144
2022-06-21,0.01067903580291353,101392.52401143267,-0.040858,85353.2161777621
2022-06-22,0.0,101392.52401143267,-0.007641,84701.03225294781
2022-06-23,-0.0021257184658524946,101176.99205084218,0.018608,86277.14906111067
2022-06-24,0.011179998395599501,102308.15065964218,0.071874,92478.23287272894
2022-06-27,0.0,102308.15065964218,-0.003937,92114.14606990901
2022-06-28,0.011022405295475955,103435.83256124337,-0.05198,87326.05275719514
2022-06-29,0.0,103435.83256124337,0.020289,89097.81104158587
2022-06-30,-0.0008781695236902343,103344.99836543055,-0.016409,87635.80506020448
2022-07-01,-0.003722969375437104,102960.24810141146,-0.007566,86972.75255911898
2022-07-05,0.015575407787647074,104563.89595150825,0.050991,91407.58018486101
2022-07-06,0.0,104563.89595150825,0.009394,92266.26299311759
2022-07-07,0.0,104563.89595150825,0.014255,93581.51857208446
2022-07-08,0.0,104563.89595150825,-0.007608,92869.55037878806
2022-07-11,-0.000658828078480451,104495.00632086009,-0.046817,88521.67663870433
2022-07-12,0.0,104495.00632086009,0.002394,88733.5975325774
2022-07-13,0.0,104495.00632086009,0.001347,88853.12168845379
2022-07-14,-0.0005047070882803683,104442.26695048006,-0.033274,85896.62291739217
2022-07-15,0.001499760365895938,104598.90532297672,0.042075,89510.72332664146
2022-07-18,-0.011882978886259967,103355.95873949787,0.015361,90885.697547662
2022-07-19,0.011464509325529303,104540.88409231587,0.051127,95532.41060618129
2022-07-20,0.013973760620615417,106001.71338168939,0.041586,99505.22143364993
2022-07-21,0.0,106001.71338168939,0.000437,99548.70521541644
2022-07-22,-0.0013616027854139905,105857.38115349023,-0.075886,91994.35217143936
2022-07-25,-0.003546857303660138,105481.92012799965,-0.015478,90570.46358852982
2022-07-26,0.014630180256826286,107025.13963330844,-0.045005,86494.33987472803
2022-07-27,0.016748986339748858,108817.70223503644,0.065536,92162.8329327582
2022-07-28,-0.009970429391631879,107732.74301834239,-0.052247,87347.60140052039
2022-07-29,0.0,107732.74301834239,-0.01008,86467.13757840316
2022-08-01,-0.0018066372736807274,107538.10902920958,0.005217,86918.23663514967
2022-08-02,0.0,107538.10902920958,0.001626,87059.56568791842
2022-08-03,0.008171955259519243,108416.90564488957,0.053749,91738.93028407836
2022-08-04,0.0,108416.90564488957,0.010486,92700.9047070372
2022-08-05,0.0,108416.90564488957,-0.020285,90820.46685505495
2022-08-08,-0.00849565949897233,107495.83253059837,0.01879,92526.98342726144
2022-08-09,0.0,107495.83253059837,-0.010103,91592.18331369583
2022-08-10,-0.0005004758066233302,107442.03346710397,0.058209,96923.67271220275
2022-08-11,0.0,107442.03346710397,-0.004766,96461.73448805638
2022-08-12,0.0,107442.03346710397,0.016959,98097.62904323933
2022-08-15,0.0,107442.03346710397,0.002161,98309.61801960178
2022-08-16,0.0,107442.03346710397,-0.00785,97537.88751814791
2022-08-17,0.0,107442.03346710397,-0.025742,95027.06721765574
2022-08-18,-0.004049815747305542,107006.91302804637,-0.001087,94923.77279559015
2022-08-19,0.0005929978440865315,107070.36789677436,-0.03836,91282.4968711513
2022-08-22,0.000557939358821124,107130.10666918743,-0.029233,88614.03564011696
2022-08-23,0.0,107130.10666918743,-0.011898,87559.70584407085
2022-08-24,0.0009756981275298905,107234.63331366664,0.013345,88728.19011855997
2022-08-25,0.0035801614109486,107618.55060977345,0.033811,91728.17895465861
2022-08-26,0.013041749473464223,109022.08478552345,-0.041474,87923.84446069309
2022-08-29,0.0,109022.08478552345,-0.016133,86505.36907800873
2022-08-30,-0.0019476955210312023,108809.7429592932,-0.012628,85412.97927729164
2022-08-31,0.0,108809.7429592932,0.036714,88548.83139847811
2022-09-01,-0.021284996826665934,106493.72792569431,0.014914,89869.44866995502
2022-09-02,0.0017273266486254823,106677.67737985184,-0.030479,87130.31774394347
2022-09-06,-0.009169322223746995,105699.51538187506,-0.011103,86162.90982603247
