,ret,AUM,ret_spy,AUM_SPX
2022-06-09,,100000.0,,
2022-06-10,-0.0035748231342080192,99642.5176865792,-0.028996,97100.4
2022-06-13,0.002742366810585722,99915.77402000608,-0.037968,93413.69201279999
2022-06-14,0.0,99915.77402000608,-0.003013,93132.23655876542
2022-06-15,-0.009332577633687176,98983.30230213443,0.014256,94459.92972314719
2022-06-16,-0.007383748148200647,98252.43452705826,-0.033096,91333.6838890299
2022-06-17,-0.011175692079674646,97154.39557270546,0.002146,91529.68597465576
2022-06-21,-0.0018410416466517403,96975.53028430082,0.025174,93833.85428938175
2022-06-22,0.0,96975.53028430082,-0.001813,93663.7335115551
2022-06-23,0.0,96975.53028430082,0.009803,94581.91909116888
2022-06-24,0.01466513352091064,98397.68938418121,0.031794,97589.05662675352
2022-06-27,-0.0012680432834885965,98272.9168550468,-0.00382,97216.26643043931
2022-06-28,0.011997063462420953,99451.90327519401,-0.020433,95229.84645846614
2022-06-29,0.0,99451.90327519401,-0.000814,95152.32936344895
2022-06-30,-0.00571668823096114,98883.36775019403,-0.008124,94379.31183970028
2022-07-01,0.0,98883.36775019403,0.010577,95377.5618210288
2022-07-05,-0.0010036138567682082,98784.12703211603,0.001889,95557.73003530873
2022-07-06,0.0,98784.12703211603,0.003377,95880.42848963795
2022-07-07,-0.006084919533371881,98183.03356795122,0.014977,97316.42966712728
2022-07-08,0.0,98183.03356795122,-0.000823,97236.33824551123
2022-07-11,0.0,98183.03356795122,-0.011424,96125.5103173945
2022-07-12,0.0,98183.03356795122,-0.008849,95274.89567659589
2022-07-13,0.0,98183.03356795122,-0.005252,94774.5119245024
2022-07-14,-0.00074493651097767,98109.8934414879,-0.002428,94544.39940954972
2022-07-15,0.0,98109.8934414879,0.019105,96350.67016026916
2022-07-18,0.0,98109.8934414879,-0.008257,95555.10267675582
2022-07-19,0.021888417466733333,100257.36374675191,0.027019,98136.90599597908
2022-07-20,-0.011142050258038848,99140.29116114712,0.006373,98762.33249789145
2022-07-21,-0.016126344683050912,97541.52065390443,0.010183,99768.02932971748
2022-07-22,0.008832625152647681,98403.06834265961,-0.009278,98842.38155359637
2022-07-25,0.0,98403.06834265961,0.001215,98962.47504718398
2022-07-26,0.0017591877321760435,98576.1778132965,-0.011831,97791.65000490073
2022-07-27,-0.00045199144865580164,98531.6222238837,0.025966,100330.90798892798
2022-07-28,-0.006378348891639915,97903.15316048052,0.012542,101589.25823692513
2022-07-29,0.0022578096218462507,98124.19984169534,0.014579,103070.32803276126
2022-08-01,0.0,98124.19984169534,-0.002961,102765.13679145624
2022-08-02,0.0,98124.19984169534,-0.006597,102087.19518404301
2022-08-03,0.007065319060650048,98817.47862114791,0.01566,103685.88066062512
2022-08-04,0.0,98817.47862114791,-0.000676,103615.78900529853
2022-08-05,0.0,98817.47862114791,-0.00169,103440.67832187958
2022-08-08,-0.0025662868278823205,98563.88462739791,-0.001161,103320.58369434786
2022-08-09,0.0,98563.88462739791,-0.003971,102910.29765649761
2022-08-10,0.0,98563.88462739791,0.021004,105071.82554847469
2022-08-11,0.0,98563.88462739791,0.0,105071.82554847469
2022-08-12,0.009738709227948656,99523.76964016122,0.016929,106850.58648318482
2022-08-15,0.0,99523.76964016122,0.004121,107290.91775008202
2022-08-16,0.0007734243828292248,99600.743750272,0.001959,107501.10065795443
2022-08-17,0.0,99600.743750272,-0.007098,106738.05784548426
2022-08-18,0.0,99600.743750272,0.002906,107048.23864158326
2022-08-19,0.0035391654440967337,99953.2472607593,-0.013438,105609.72441071768
2022-08-22,0.009833740973474864,100936.16160377928,-0.020823,103410.6131193133
2022-08-23,0.0,100936.16160377928,-0.002419,103160.46284617767
2022-08-24,-0.006107589120933243,100319.68500125928,0.003201,103490.6794877483
2022-08-25,-0.0032519403262388645,99993.45137208811,0.014118,104951.76090075636
2022-08-26,0.04164405052201225,104157.58371289771,-0.033849,101399.24874602664
2022-08-29,0.0,104157.58371289771,-0.006612,100728.79691331791
2022-08-30,0.006171593296794244,104800.40195835051,-0.010978,99622.9961808035
2022-08-31,0.0,104800.40195835051,-0.007609,98864.96480286377
2022-09-01,-0.002390931191187711,104549.83140845929,0.003138,99175.20306241517
2022-09-02,0.004184002435460167,104987.26815769923,-0.010544,98129.49972132506
2022-09-06,-0.01197047797218785,103730.52037685731,-0.003773,97759.2571188765
2022-09-07,0.02079951771799804,105888.06517333291,0.017965,99515.50217301711
2022-09-08,-0.0011963602818940797,105761.38489783293,0.006536,100165.93549521996
2022-09-09,-0.0012915560005930821,105624.7881465371,0.015535,101722.01330313821
2022-09-12,-0.0022187722181242968,105390.43080105231,0.010748,102815.32150212034
2022-09-13,0.010766189485729164,106525.08414903906,-0.043483,98344.60287724364
2022-09-14,0.0,106525.08414903906,0.003816,98719.8858818232
2022-09-15,0.0,106525.08414903906,-0.011353,97599.11901740686
2022-09-16,-0.005145967711318325,105976.90950556264,-0.007597,96857.65851023163
2022-09-19,0.0,105976.90950556264,0.007755,97608.78965197847
2022-09-20,-0.005333681123043012,105411.66246385439,-0.011479,96488.3383555634
2022-09-21,0.0,105411.66246385439,-0.017444,94805.19578128896
2022-09-22,-0.006041872699728376,104774.77861818104,-0.0084,94008.83213672612
2022-09-23,0.0012640937390805136,104907.22375984583,-0.016755,92433.71415427528
2022-09-26,-0.0008524192008350155,104817.79882800665,-0.009893,91519.26742014704
2022-09-27,0.00032580788230189453,104851.94929307034,-0.002553,91285.61873042339
2022-09-28,0.014456641979711702,106367.75638487515,0.019676,93081.7545645632
2022-09-29,-0.003030470401998766,106045.41204742377,-0.020889,91137.36979346404
2022-09-30,-0.007947195080453703,105202.6484704958,-0.015464,89728.02150697791
2022-10-03,0.0072568160268105236,105966.0847359794,0.026401,92096.93100278362
2022-10-04,-0.005735353545148363,105358.33177622341,0.030987,94950.73860376688
2022-10-05,0.0,105358.33177622341,-0.002328,94729.69328429732
2022-10-06,0.0,105358.33177622341,-0.010316,93752.46176837651
2022-10-07,0.007956448691504133,106196.6099372234,-0.027894,91137.33059980941
2022-10-10,-0.009195976121732959,105220.0284480317,-0.007635,90441.49708067988
2022-10-11,-0.0006290996720829239,105153.8345626385,-0.006333,89868.73107966792
2022-10-12,0.0,105153.8345626385,-0.003298,89572.34400456719
2022-10-13,0.019928377934593552,107249.37991907449,0.026391,91936.24773519172
2022-10-14,0.015727522822153575,108936.14698941355,-0.022789,89841.11258555444
2022-10-17,-0.001597748474754896,108762.09442671554,0.025697,92149.75965566545
2022-10-18,0.0,108762.09442671554,0.01175,93232.51933161951
2022-10-19,0.0,108762.09442671554,-0.007086,92571.87369963565
2022-10-20,-0.005574141734555393,108155.83909703394,-0.008385,91795.65853866421
2022-10-21,0.006288804016252213,108836.0099723285,0.024302,94026.47663247082
2022-10-24,0.0,108836.0099723285,0.012237,95177.07862702238
2022-10-25,-0.0016834595562540888,108652.78895127602,0.015969,96696.96139561728
2022-10-26,0.0,108652.78895127602,-0.007534,95968.4464884627
2022-10-27,0.0,108652.78895127602,-0.00534,95455.9749842143
2022-10-28,0.018869846820780835,110703.05043543722,0.023791,97726.96808506374
2022-10-31,0.0,110703.05043543722,-0.007223,97021.08619458532
2022-11-01,0.0,110703.05043543722,-0.004376,96596.52192139781
2022-11-02,0.0054664423647994165,111308.20228025003,-0.025096,94172.33560725841
2022-11-03,-0.011980685058535157,109974.65376429862,-0.010297,93202.64306751048
2022-11-04,0.0,109974.65376429862,0.014393,94544.10870918118
2022-11-07,0.0,109974.65376429862,0.009566,95448.51765309321
2022-11-08,-0.007949691352483437,109100.38921027622,0.005395,95963.46240583164
2022-11-09,0.0018986722406083587,109307.53509070934,-0.020602,93986.4231533467
2022-11-10,0.008875218398616455,110277.66333725382,0.054954,99151.3530513157
2022-11-11,-0.001957839864449322,110061.75733181382,0.009679,100111.03899749937
2022-11-14,0.0,110061.75733181382,-0.008507,99259.39438874765
2022-11-15,0.0,110061.75733181382,0.008529,100105.97776348928
2022-11-16,0.0,110061.75733181382,-0.007629,99342.26925913162
2022-11-17,0.0,110061.75733181382,-0.00306,99038.28191519868
2022-11-18,0.0,110061.75733181382,0.00454,99487.91571509368
2022-11-21,0.0,110061.75733181382,-0.003636,99126.1776535536
2022-11-22,0.0010867911400269231,110181.37147453782,0.013457,100460.11862623747
2022-11-23,-0.0042850698659336155,109709.23659984504,0.006302,101093.21829382003
2022-11-25,0.0,109709.23659984504,-0.000224,101070.57341292221
2022-11-28,0.00143846043345669,109867.04899587865,-0.015957,99457.7902729722
2022-11-29,-0.0030812497921066553,109528.52117400072,-0.001718,99286.92178928324
2022-11-30,0.019197707175129176,111631.21765082412,0.031501,102414.55911256745
2022-12-01,-0.005431486055273062,111024.89424882052,-0.000736,102339.1819970606
2022-12-02,0.0,111024.89424882052,-0.001154,102221.082581036
2022-12-05,0.011927934045692703,112349.19186485047,-0.017989,100382.22752648573
2022-12-06,0.01582116295322046,114126.6867370069,-0.014415,98935.21771669145
2022-12-07,0.0,114126.6867370069,-0.001701,98766.92891135535
2022-12-08,-0.0015235055765762376,113952.81409332689,0.007834,99540.66903244691
2022-12-09,0.0,113952.81409332689,-0.00747,98797.10023477452
