ticker,n_trades,mean,std,min,median,p50,p75,p90,p95,p99,max
META,50,0.004125786480907081,0.0018934677563010281,0.0010838345049285006,0.004122840505782321,0.004122840505782321,0.005590809858086644,0.006164748361152889,0.007564490756577988,0.008082646151465249,0.008103931226676433
MSFT,50,0.0014242534993709646,0.000928372690119693,6.000000000000001e-05,0.0011244800618122853,0.0011244800618122853,0.0022930520682884186,0.002701950055683263,0.0027701372248633066,0.0034744496658258364,0.003591840568671828
SPY,50,0.0002822105057886022,0.0002906633020114266,6.000000000000001e-05,0.00016622807876794029,0.00016622807876794029,0.0004094744539768775,0.0008047423280533284,0.0008820072706708361,0.0009867563495430465,0.001055793059388656
